Id,DimMeasurementId,Axis,Measurement,Nominal,PositiveTolerance,NegativeTolerance,Bonus,Deviation,OutTolerance,OutToleranceBar,PlanId,PartNo,PlanProductId,Type,IdSymbol,WarningLimitCf,FeatureId,FeatureSigma,Comment,Link,LinkMode,Mmc,UserUpperTol,UserLowerTol,Fftphi,FftphiUnit,ZoneRoundnessAngle,GroupName,GroupName2,DatumAid,DatumBid,DatumCid,NatUpperTolId,NatLowerTolId,DecimalPlaces,FeaturePosX,FeaturePosY,FeaturePosZ,Unit,Confirmation,CreatedDate,UpdatedDate
c357b7d1-9ced-4c23-acb0-3e22c8840f36,2a6b92b0-39a4-47d7-8f0c-f6cbe25ae16c,,0.0160818,0.0,0.015,0.0,,0.0160818,0.0010818000000000008,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:36.71948,2022-01-18 09:59:36.71948
9467050a-83df-4dd5-b916-ffaefd817099,f45e76ad-1031-4b60-82be-1a79fdcef915,,0.0125652,0.0,0.012,0.0,,0.0125652,0.0005652000000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:42.832971,2022-01-18 09:59:42.832971
b50facff-28bf-471b-ac27-7c5ebb08a4ff,59f578b7-e7a6-4eaa-95dd-202fb53596d9,,103.713.715,10.45,0.05,-0.05,,-0.0786285,0.0286285,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:44.864525,2022-01-18 09:59:44.864525
8f1d0663-ae91-442d-adc1-fb218b539083,be2e5ca6-5607-458e-a309-996f6657ec5e,,0.0137135,0.0,0.012,0.0,,0.0137135,0.0017134999999999997,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:50.952989,2022-01-18 09:59:50.952989
4f0b0992-e1fe-45cd-b560-e294bec9f75f,1e6a590f-00ed-41b6-b038-ca514005d065,,0.0507042,0.0,0.05,0.0,,0.0507042,0.0007041999999999951,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 09:59:55.029683,2022-01-18 09:59:55.029683
04409ed2-b682-4b38-9dba-b9461100d712,73f413bb-46b4-4a63-9900-19f524b9fb5c,,0.0564895,0.0,0.05,0.0,,0.0564895,0.006489499999999995,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:57.061404,2022-01-18 09:59:57.061404
dfde21f7-a1ec-4b4f-a92f-cd7f31f7aca5,d1e11a0b-071f-4744-80a6-39847a669418,,0.0615509,0.0,0.05,0.0,,0.0615509,0.011550899999999996,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 09:59:57.061404,2022-01-18 09:59:57.061404
1a1fec10-03b7-4ba6-9c91-a3923895d4e9,bf903ff2-fcc4-4235-b6cb-dd23de149355,,475.144.006,47.0,0.5,-0.5,,0.5144006,0.014400599999999986,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:01.133594,2022-01-18 10:00:01.133594
672b5602-2a52-43dd-ada0-b4063a993faf,63898af1-dff7-4360-9d0d-f4471a6618c2,,-440.452.017,-43.5,0.5,-0.5,,-0.5452017,0.04520170000000001,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:01.133594,2022-01-18 10:00:01.133594
6be5c555-db24-4d7f-adda-4089ec30a378,850053b2-2abd-4759-823a-ba14542d1b7c,,0.0505297,0.0,0.05,0.0,,0.0505297,0.0005296999999999941,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:01.133594,2022-01-18 10:00:01.133594
721bec1f-d67b-43d7-af45-7ebfb8e10fd3,80f054ce-c93e-4001-9fe6-32231460f071,,-440.608.952,-43.5,0.5,-0.5,,-0.5608952,0.06089520000000004,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:03.178853,2022-01-18 10:00:03.178853
898a3487-e97b-4597-96c3-3b640f263ecf,ed79dc32-729a-462e-9e15-9626649f23ae,,0.0635073,0.0,0.05,0.0,,0.0635073,0.0135073,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:03.178853,2022-01-18 10:00:03.178853
aa3ef2db-1425-40c6-bc81-abaedc3f290a,018969e0-1f39-4c84-afaf-8b88fba332e6,,475.437.266,47.0,0.5,-0.5,,0.5437266,0.04372659999999995,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:03.178853,2022-01-18 10:00:03.178853
aaa97413-406b-45cc-aa3c-d5a3c32f9437,489e9504-0920-42d5-b4f3-df5e2260f694,,0.0597691,0.0,0.05,0.0,,0.0597691,0.009769099999999996,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:03.178853,2022-01-18 10:00:03.178853
0820fecb-648c-4e73-9717-7e0a8302e239,a7e365ca-ecc0-4c39-a0d7-de56f5c7f07e,,-44.095.322,-43.5,0.5,-0.5,,-0.595322,0.09532200000000002,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:05.211157,2022-01-18 10:00:05.211157
5c5cc0aa-ba9e-4254-b887-6dec615193e8,3ca831ee-8be8-4037-88e1-2bdda2390641,,475.668.817,47.0,0.5,-0.5,,0.5668817,0.06688170000000004,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:05.211157,2022-01-18 10:00:05.211157
44d7dae7-9969-4fbb-9b56-c06128552716,e984a58d-f092-431f-9ac5-5aa6bcc5c039,,475.303.919,47.0,0.5,-0.5,,0.5303919,0.030391900000000027,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:06.249921,2022-01-18 10:00:06.249921
5f74125c-63c8-44e0-8a41-e93b97df9483,b7811a6f-00a7-4007-a37a-b17aa2be1dd6,,0.0541175,0.0,0.05,0.0,,0.0541175,0.004117499999999996,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:06.249921,2022-01-18 10:00:06.249921
66a89957-b634-46e1-950a-206f01593d74,ca2d4fd6-55fe-4e3a-9ba5-927e8465d90e,,0.0504386,0.0,0.05,0.0,,0.0504386,0.0004385999999999973,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:06.249921,2022-01-18 10:00:06.249921
c5800dc0-39a3-4f47-b3c8-3652c9f6ccd2,7f14753e-7c92-47a2-9b5a-85ce559ffffd,,-440.487.367,-43.5,0.5,-0.5,,-0.5487367,0.048736699999999966,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:06.249921,2022-01-18 10:00:06.249921
39e34454-0d3e-4887-b129-f921918b0541,156b5eb5-fe16-4e60-b36e-d544067ef84b,,849.093.507,84.93,0.02,-0.02,,-0.0206493,0.0006492999999999985,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:08.306318,2022-01-18 10:00:08.306318
5108ccb7-2b95-4727-a39b-a1abd5d31ad4,e1424cfc-8f20-4494-ba7c-928663b110e6,,0.0711034,0.0,0.06,0.0,,0.0711034,0.0111034,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:08.306318,2022-01-18 10:00:08.306318
51ce2c8d-1db4-4af2-8fe9-7718e429a08e,028ce6d6-414a-4b3f-ba78-ba98192f8fc0,,0.0711034,0.0,0.06,0.0,,0.0711034,0.0111034,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:08.306318,2022-01-18 10:00:08.306318
531c08ed-25e5-4da1-a73e-25f2b2fef7cf,e4195506-81d9-4565-91c7-1aa2ed2e99d6,,0.0283901,0.0,0.015,0.0,,0.0283901,0.013390100000000002,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:08.306318,2022-01-18 10:00:08.306318
dacc51e9-f9a5-47ad-93b2-3e07ad3aa9a9,9394a1f2-74d9-4f32-abdb-bedb8501ea4a,,0.0192007,0.0,0.012,0.0,,0.0192007,0.007200700000000001,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:08.306318,2022-01-18 10:00:08.306318
17867229-47cb-4dc8-9d06-5ebd8c338113,7352aa52-2f64-4811-9a51-538cc5bac5d5,,849.086.198,84.93,0.02,-0.02,,-0.0213802,0.001380199999999998,<----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:10.352706,2022-01-18 10:00:10.352706
3a01a5c4-2994-4899-a689-8e798c592600,43d2f18e-f951-4e20-b0c5-4e85d7c881c9,,0.0658568,0.0,0.06,0.0,,0.0658568,0.005856799999999995,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:10.352706,2022-01-18 10:00:10.352706
826b7fb0-791e-4dc5-b6f3-35e6172c29ec,e0e5b332-f1d0-4783-bb19-b84a9f077c3e,,0.0126654,0.0,0.012,0.0,,0.0126654,0.0006654,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-01-18 10:00:10.352706,2022-01-18 10:00:10.352706
bebed381-e78f-4901-873f-e341df097703,385834df-50fa-46c8-97d9-c532bdab3d07,,0.0330439,0.0,0.015,0.0,,0.0330439,0.0180439,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:10.352706,2022-01-18 10:00:10.352706
c5aa374a-1ae7-4b52-9463-b44ed2eb3b5c,beaeaf49-4538-4c12-b484-280a1de14d74,,0.0658568,0.0,0.06,0.0,,0.0658568,0.005856799999999995,---->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2022-01-18 10:00:10.352706,2022-01-18 10:00:10.352706
